Index,Requirement,Ground Truth,Response
8965,Make sure that either (prop_1) finally happens in a future time or that if (prop_3) happens then (prop_2) should also happen .,(prop_3 -> prop_2) | F prop_1,F prop_1 | G(prop_3 -> prop_2)
8966,"Always make sure that at some point either (prop_3) or (prop_1) happens, and keep (prop_2) for all time afterward .",(prop_1 | prop_3) & G prop_2,F((prop_3 | prop_1) & G(prop_2))
8968,"Our agent must eventually, avoid pickuping the refrigerator.",F!pickup_refrigerator,F(G(!pickup_refrigerator ))
8972,"(prop_4) and (prop_1) happen, and at the same time, (prop_3) is equivalent to (prop_2).",prop_1 & prop_4 & (prop_2 <-> prop_3),G((prop_4 & prop_1) & (prop_3 <-> prop_2))
8973,Continuously revisit warehouse_4 and each time ensure you pickup crate_3 and deliver it to mall_3,GF(warehouse_4 & F(p_crate_3 & F(mall_3 & pd))),G(warehouse_4 -> F(p_crate_3 & F(mall_3)))
8976,"If (prop_3), then do (prop_2), or else keep (prop_1) all the time .",(prop_3 -> prop_2) | G prop_1,G(prop_3 -> (prop_2 | G prop_1))
8977,If it is not the case that for the scenario in which ( prop_3 ) if and only if ( prop_2 ) then ( prop_4 ) then ( prop_1 ) .,((prop_2 <-> prop_3) -> prop_4) -> prop_1,!((prop_3 <-> prop_2) -> prop_4) -> prop_1
8978,do not ( prop_1 ) until at some time ( prop_2 ),!(prop_1 U F prop_2),!prop_1 U prop_2
8980,when possible ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),prop_1 U prop_2
8981,always go_by trash can and when possible capture pear,G go_by_trash_can & F capture_pear,G(go_by_trash_can & F(capture_pear))
8982,"first, it will happen that the bridge closes, and then, it is going to happen that a train has been launched and the escalator is blocked",G!bridge_closes | F(bridge_closes & F(escalator_is_blocked & train_has_been_launched)),!bridge_closes | F(bridge_closes & F(train_has_been_launched & escalator_is_blocked))
8983,Avoid entering street_4 until you reach intersection_2 while going to house_13 to pickup trash_13,(!street_4 U intersection_2) & F(house_13 & p_trash_13),G(!street_4 U intersection_2)
8985,"If change light_east red holds, then in the next step get_help persists until begining recording the cyclist on southwest_5th_street holds, or else get_help holds forever.",change_light_east_red -> X((get_help U record_cyclist_southwest_5th_street) | G get_help),G(change_light_east_red -> X(get_help U record_cyclist_southwest_5th_street | G get_help))
8989,"If at some point ( prop_3 ) or ( prop_4 ) then ( prop_1 ) happens, and ( prop_2 ) .",prop_2 & ((prop_3 | prop_4) -> prop_1),F((prop_3 | prop_4) -> (prop_1 & prop_2))
8990,"if whenever visit trash bin , get_to tree",F visit_trash_bin -> get_to_tree,G(visit_trash_bin -> F get_to_tree)
8991,"If ( prop_1 ) then ( prop_2 ) and also ( prop_4 ) is true, then the scenario is equivalent to ( prop_3 ) .",prop_3 <-> (prop_4 & (prop_1 -> prop_2)),G((prop_1 & prop_2 & prop_4) <-> prop_3)
8997,"It is not the case that ( prop_3 ) then ( prop_2 ) , or else ( prop_1 ) .",prop_1 | !(prop_3 -> prop_2),!(prop_3 -> F(prop_2)) | prop_1
8999,"first, at some point a constructor instantiate objects and an elevator rises, and then, finally, a bridge closes",G!(constructor_instantiate_objects & elevator_rises) | F(constructor_instantiate_objects & elevator_rises & F bridge_closes),! (constructor_instantiate_objects & elevator_rises) | F ((constructor_instantiate_objects & elevator_rises) & F (bridge_closes))
9000,"when whenever move_past trash can , whenever get_hold_of orange",F move_past_trash_can -> F get_hold_of_orange,G(move_past_trash_can -> F(get_hold_of_orange))
9004,forever stay and keep apple,keep_apple & G stay,G(stay & keep_apple)
9005,move until you are one square into the blue_room,F blue_room,move U blue_room
9008,Visit statue 5 and take a picture of it,F(photo & statue_5),F(statue_5 & F photo )
9009,Ensure you collect brochure_5 from table_2 and place it in street_5,F(table_2 & F(p_brochure_5 & F(pd & street_5))),F(p_brochure_5 & table_2 & F(p_brochure_5 & street_5))
9010,"It is always the case that ( prop_1 ) should not happen or else ( prop_2 ) should happen, and in the meantime with the above condition ( prop_3 ) should happen .",prop_3 & (prop_2 | G!prop_1),G((!prop_1 | prop_2) & prop_3)
9013,"At some point ( prop_2 ) should happen and then ( prop_1 ) , or else ( prop_3 ) .",prop_3 | F(prop_2 -> prop_1),F(prop_2 & F(prop_1)) | prop_3
9014,"For each time instant ( prop_3 ) and ( prop_1 ) should be detected , or else ( prop_2 ) .",prop_2 | G(prop_1 & prop_3),G(prop_3 -> (prop_1 | prop_2))
9016,do not let_go pear or drop pear,drop_pear | !let_go_pear,G(!let_go_pear & !drop_pear)
9018,do not ( prop_1 ) and whenever ( prop_2 ),!(prop_1 & F prop_2),G(!prop_1) & G(prop_2)
9019,"If (prop_1) doesn't happen, then make sure (prop_2) happens until (prop_3) .",!prop_1 -> (prop_2 U prop_3),G(!prop_1 -> (prop_2 U prop_3))
9021,never ( prop_1 ) or always ( prop_2 ),G(!prop_1 | G prop_2),G(!prop_1 ) | G(prop_2 )
9025,"Keep seeing (prop_3) until you see (prop_2), and do not do (prop_1) .",!prop_1 & (prop_3 U prop_2),(prop_3 U prop_2) & G(!prop_1)
9026,"first, at some point a semaphore is yellow or the bar is up, and then, sooner or later either a motorbike falls down or the manager collect claims",G!(bar_is_up | semaphore_is_yellow) | F((bar_is_up | semaphore_is_yellow) & F(manager_collect_claims | motorbike_falls_down)),!((semaphore_is_yellow | bar_is_up)) | F((semaphore_is_yellow | bar_is_up) & F(motorbike_falls_down | manager_collect_claims))
9028,move into the blue_room but only via the green_room,F(green_room & F blue_room),(!blue_room ) U (green_room )
9029,at the yellow,F yellow_room,G(yellow_room )
9030,"Globally , if ( prop_1 ) then in response ( prop_3 ) or ( prop_2 ) .",G(prop_1 -> (prop_2 | prop_3)),G(prop_1 -> F(prop_3 | prop_2))
9031,move_towards trash can can infer that put_in bucket,move_towards_trash_can -> put_in_bucket,G(move_towards_trash_can -> F(put_in_bucket))
9032,"If at some point ( prop_4 ) is equivalent to ( prop_3 ) and this scenario continues until ( prop_1 ) is detected , or else ( prop_2 ) .",prop_2 | ((prop_3 <-> prop_4) U prop_1),F((prop_4 <-> prop_3) U prop_1) | prop_2
9033,"when always ( prop_1 ) , ( prop_2 )",G prop_1 -> prop_2,G(prop_1 -> prop_2)
9034,forever go_by trash can and when possible come home,G go_by_trash_can & F come_home,G(go_by_trash_can) & GF(come_home)
9035,"In the case the scenario that ( prop_3 ) and ( prop_1 ) , then all of the following conditions hold : eventually there ought to be a time in the future before the end of the execution , at which ( prop_2 ) .",G((prop_1 & prop_3) -> FG prop_2),G((prop_3 & prop_1) -> F(prop_2 ))
9037,repeatedly ( prop_1 ) can infer that at any time ( prop_2 ),GF prop_1 -> F prop_2,G(prop_1 ) -> G(prop_2 )
9038,"Whenever ( prop_3 ) , then all of the following conditions are true : promptly ( prop_2 ) , or ( prop_1 ) .",G(prop_3 -> (prop_1 | prop_2)),G(prop_3 -> (X prop_2 | prop_1))
9039,always ( prop_1 ) or at some time ( prop_2 ),G(prop_1 | F prop_2),G(prop_1 ) | F(prop_2 )
9044,"If it is not the case that ( prop_2 ) and ( prop_1 ) , then ( prop_3 ) .",!(prop_1 & prop_2) -> prop_3,G(!(prop_2 & prop_1) -> prop_3)
9049,"first, finally, both a house is built and a sensor captures data, and then, at some point both an elevator is open and a train is crossing",G!(house_is_built & sensor_captures_data) | F(house_is_built & sensor_captures_data & F(elevator_is_open & train_is_crossing)),! (house_is_built & sensor_captures_data) | F ((house_is_built & sensor_captures_data) & F (elevator_is_open & train_is_crossing))
9052,follow the path through the blue_room to get to the green_room,F(blue_room & F green_room),!blue_room | F(blue_room & F(green_room))
9055,Ensure that you keep visiting charger_9 and keep moving crate_2 from warehouse_8 to store_2,GF charger_9 & GF(warehouse_8 & F(p_crate_2 & F(pd & store_2))),G(F charger_9) & G(F(p_crate_2 & warehouse_8 & F(p_crate_2 & store_2)))
9056,( prop_1 ) until whenever ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2
9058,You need to wait until (prop_1) before (prop_2).,!prop_1 U prop_2,!prop_2 U prop_1
9060,"Transport the truck to the shelf should always hold, with at most a two-step grace period for recovery.",!G!(deliver_truck_shelf & X deliver_truck_shelf),G(deliver_truck_shelf | X deliver_truck_shelf | X X deliver_truck_shelf)
9063,Deliver pass 2 from house 3 to office 2 but do not enter street 5 until you pick up pass 2,F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2),F(pd & office_2) & (!street_5 U p_pass_2)
9064,"While ( prop_1 ) , ( prop_2 ) .",G(prop_1 -> F prop_2),G(prop_1 -> prop_2)
9065,"in the future either the engine breaks or the semaphore is yellow and, in the future either the bar is down or a motorbike is driven afterwards",G!(engine_breaks | semaphore_is_yellow) | F((engine_breaks | semaphore_is_yellow) & F(bar_is_down | motorbike_is_driven)),F(engine_breaks | semaphore_is_yellow) & F(bar_is_down | F motorbike_is_driven)
9068,"It is always the case that when ( prop_4 ) , or ( prop_1 ) then all of the following conditions hold : there will have to be eventually a certain time point in the future before the end of the simulation , at which ( prop_3 ) , and till then ( prop_2 ) .",G((prop_1 | prop_4) -> (prop_3 U prop_2)),G((prop_4 | prop_1) -> (prop_2 U prop_3))
9071,"If it is true that ( prop_1 ) happens and continues until ( prop_2 ) is detected then as a response ( prop_4 ) should be detected , then ( prop_3 ) should be detected .",((prop_1 U prop_2) -> prop_4) -> prop_3,G((prop_1 U prop_2) -> F(prop_4 & F prop_3))
9076,"If (prop_2) happens all the time, then (prop_1) and (prop_3) should happen at the same time .",G prop_2 -> (prop_1 & prop_3),G(prop_2 ) -> F(prop_1 & prop_3 )
9078,never drop apple or at any time go_by waste basket,G!drop_apple | F go_by_waste_basket,G(!drop_apple) | G(go_by_waste_basket)
9079,"If ( prop_2 ) then ( prop_3 ) , and ( prop_1 ) .",prop_1 & (prop_2 -> prop_3),G((prop_2 -> prop_3) & prop_1)
9080,at some time spend_time_at tree until forever hold_on pear,F spend_time_at_tree U G hold_on_pear,F(spend_time_at_tree U G hold_on_pear)
9081,"In the event that ( prop_2 ) then in response ultimately there will have to exist a certain time instant in the future before the end of the simulation , at which ( prop_1 ) , and before ( prop_3 ) .",G(prop_2 -> (prop_1 U prop_3)),G(prop_2 -> F(prop_1 & !prop_3))
9082,Eventually go to warehouse 3 and pick up package 2 and then go to house 1 to deliver the package and take a picture there.,F(warehouse_3 & F(p_package_2 & F(house_1 & pd & photo))),F(warehouse_3 & p_package_2 & F(house_1 & pd & photo))
9085,at some time ( prop_1 ) and never ( prop_2 ),F(prop_1 & G!prop_2),F(prop_1 ) & G(!prop_2 )
9090,whenever withold apple until at some time visit house,F withold_apple U F visit_house,G(withold_apple U visit_house)
9095,"It is required that (prop_2) is equivalent to (prop_1), and before the end (prop_3) should happen .",(prop_1 <-> prop_2) & F prop_3,G(prop_2 <-> prop_1) & F(prop_3)
9101,Keep revisiting area_2 and capturing a photo,GF(area_2 & photo),G(F(area_2 & F(photo)))
9105,"If ( prop_3 ) then ( prop_4 ) , or else ( prop_2 ) , and also ( prop_1 ) .",prop_1 & (prop_2 | (prop_3 -> prop_4)),G(((prop_3 -> prop_4) | prop_2) & prop_1)
9106,at some time ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),F prop_1 | G prop_2
9108,"In the case ( prop_3 ) or ( prop_1 ) then the following condition is true : at the same time instant ( prop_4 ) , or immediately ( prop_2 ) .",G((prop_1 | prop_3) -> (prop_2 | prop_4)),G((prop_3 | prop_1) -> (prop_4 | X prop_2))
9109,"If either (prop_4) or (prop_3) happens, then wait until (prop_1) is equivalent to (prop_2) .",(prop_3 | prop_4) U (prop_1 <-> prop_2),G((prop_4 | prop_3) -> ( ! (prop_1 <-> prop_2) U (prop_1 <-> prop_2) ))
9110,"if at some time walk_to flag , repeatedly go_to pear",F walk_to_flag -> GF go_to_pear,G(walk_to_flag -> G(go_to_pear))
9111,During the interval that ( prop_2 ) and ( prop_3 ) then the following condition is true : ( prop_1 ) then this scenario must consistently keep in the future until the end of the simulation .,G((prop_2 & prop_3) -> G prop_1),F((prop_2 & prop_3) -> G(prop_1))
9115,Place bottle_3 in kitchen_4 after getting it from bedroom_2,F(bedroom_2 & F(p_bottle_3 & F(kitchen_4 & pd))),G((pd & p_bottle_3 & bedroom_2) -> F(pd & p_bottle_3 & kitchen_4))
9116,"For all time, (prop_2) is true if and only if (prop_3) is not true and (prop_1) is true.",(prop_1 & !prop_3) <-> G prop_2,G(prop_2 <-> (!prop_3 & prop_1))
9117,"(prop_2) is equivalent to (prop_1), or (prop_3) is equivalent to (prop_4) .",(prop_1 <-> prop_2) | (prop_3 <-> prop_4),G((prop_2 <-> prop_1) | (prop_3 <-> prop_4))
9118,( prop_1 ) until at any time ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2
9123,"If ( prop_2 ) and ( prop_1 ) , then ( prop_3 ) .",(prop_1 & prop_2) -> prop_3,G((prop_2 & prop_1) -> prop_3)
9124,at some time ( prop_1 ) or never ( prop_2 ),F(prop_1 | G!prop_2),F prop_1 | G ! prop_2
9125,"when ( prop_1 ) , repeatedly ( prop_2 )",prop_1 -> GF prop_2,G(prop_1 -> G(F prop_2))
9126,"sooner or later either the sensor retrieves data or a manager collect claims and, it will happen that the train has arrived afterwards",G!(manager_collect_claims | sensor_retrieves_data) | F((manager_collect_claims | sensor_retrieves_data) & F train_has_arrived),F((sensor_retrieves_data | manager_collect_claims) & F(train_has_arrived))
9127,don't let_go orange or at any time migrate_to tree,!let_go_orange | F migrate_to_tree,G(!let_go_orange | G(!migrate_to_tree))
9130,"(prop_2) doesn't happen, and either (prop_1) or (prop_3) happens .",!prop_2 & (prop_1 | prop_3),G(!prop_2 & (prop_1 | prop_3))
9133,"when never drop orange , venture_to trash can",G!drop_orange -> venture_to_trash_can,G(!drop_orange -> F venture_to_trash_can)
9135,"in the future the escalator is blocked or a table is old and, at some point the bar has to be repaired and a car stops afterwards",G!(escalator_is_blocked | table_is_old) | F((escalator_is_blocked | table_is_old) & F(bar_has_to_be_repaired & car_stops)),F((escalator_is_blocked | table_is_old) & F(bar_has_to_be_repaired & F(car_stops)))
9136,( prop_1 ) until whenever ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2
9139,In the case the transition action that ( prop_1 ) happens then the following condition is true : without any delay ( prop_2 ) .,G(prop_1 -> prop_2),G(prop_1 -> X prop_2)
9140,"Eventually (pickup crate 4, and after that, at park_1, deliver the crate, and remain in park_1 indefinitely)","F(""p_crate_4 "" & F(""park_1 "" & pd & G park_1))","F(""p_crate_4 "" & F(park_1 & pd & G park_1 ))"
9143,"Whenever deliver_aid the injured_rescuer and go_home are equal, go_home and deliver_aid the safe_hostile are equal as well.",G((deliver_aid_injured_rescuer <-> go_home) -> (deliver_aid_safe_hostile <-> go_home)),G(deliver_aid_injured_rescuer <-> go_home -> (go_home <-> deliver_aid_safe_hostile))
9146,"If both (prop_1) and (prop_2) happen, then make sure (prop_3) is true all the time.",(prop_1 & prop_2) -> G prop_3,G((prop_1 & prop_2) -> G(prop_3))
9148,at any time pass_by waste receptacle and repeatedly go_to waste basket,F pass_by_waste_receptacle & GF go_to_waste_basket,G(pass_by_waste_receptacle -> GF go_to_waste_basket)
9149,never ( prop_1 ) or when possible ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | G(prop_2 )
9150,when possible seize pear or pick_up orange,pick_up_orange | F seize_pear,G(seize_pear | pick_up_orange)
9153,"If photo unsafe_person ever holds, avoid the active_gas_leak must have held beforehand.",F photo_unsafe_person -> (!photo_unsafe_person U (avoid_active_gas_leak & !photo_unsafe_person)),!photo_unsafe_person | F(avoid_active_gas_leak & F(photo_unsafe_person))
9155,"Globally , whenever ( prop_2 ) and ( prop_3 ) , then all of the following conditions are true : ( prop_1 ) .",G((prop_2 & prop_3) -> G prop_1),G((prop_2 & prop_3) -> prop_1)
9156,"It should be the case that (prop_1) and (prop_2) are always equivalent, and also that (prop_3) happens eventually .",(prop_1 <-> prop_2) & F prop_3,G(prop_1 <-> prop_2) & F(prop_3 )
9157,every time either an elevator is open or the manager handles requests then it should not happen that the engine stops or a train stops,G((elevator_is_open | manager_handles_requests) -> G!(engine_stops | train_stops)),G((elevator_is_open | manager_handles_requests) -> ! (engine_stops | train_stops))
9158,"Either (prop_4) or (prop_2), and (prop_3) implies (prop_1) .",(prop_3 -> prop_1) & (prop_2 | prop_4),((prop_4 | prop_2) & prop_3) -> prop_1
9159,at some time go_near house and do not let_go pear,!let_go_pear & F go_near_house,F(go_near_house & !let_go_pear)
9160,"first, at some point a constructor creates instances or a table is old, and then, finally, a sensor gathers information",G!(constructor_creates_instances | table_is_old) | F((constructor_creates_instances | table_is_old) & F sensor_gathers_information),! (constructor_creates_instances | table_is_old) | F ((constructor_creates_instances | table_is_old) & F (sensor_gathers_information))
9161,"If (prop_3) and (prop_2) occur, then keep them occurring until (prop_1) happens, at which point you should ensure that (prop_4) occurs .",(prop_2 & prop_3) U (prop_1 -> prop_4),G((prop_3 & prop_2) -> ((prop_3 & prop_2) U (prop_1 & F prop_4)))
9162,"In the end make sure (prop_1), or that (prop_3) is equivalent to (prop_2) .",(prop_2 <-> prop_3) | F prop_1,F(prop_1 | (prop_3 <-> prop_2))
9163,whenever ( prop_1 ) and always ( prop_2 ),F(prop_1 & G prop_2),G(prop_1 & G prop_2)
9164,"For all time (prop_2) is true, is equivalent to the scenario in which (prop_1) is equivalent to (prop_3) .",(prop_1 <-> prop_3) <-> G prop_2,(G prop_2 ) <-> (G (prop_1 <-> prop_3 ))
9166,"Always eventually make (prop_1) happen, and if (prop_2), then (prop_3) .",(prop_2 -> prop_3) & F prop_1,(G F prop_1 ) & G(prop_2 -> prop_3 )
9167,"In this task, deliver_aid the injured_victim, then photo safe_person.",deliver_aid_injured_victim U photo_safe_person,!deliver_aid_injured_victim | F(deliver_aid_injured_victim & F(photo_safe_person))
9168,do not let_go orange or at some time visit trash bin,!let_go_orange | F visit_trash_bin,G(!let_go_orange) | F(visit_trash_bin)
9169,"If it is not the case that ( prop_3 ) or ( prop_2 ) then ( prop_1 ) should be true , and vice versa .",prop_1 <-> !(prop_2 | prop_3),G(!(prop_3 | prop_2) <-> prop_1)
9170,"If (prop_3) is equivalent to (prop_1), then keep (prop_2) until (prop_4) happens .",(prop_1 <-> prop_3) -> (prop_2 U prop_4),G((prop_3 <-> prop_1) -> (prop_2 U prop_4))
9176,"If it is the case that ( prop_1 ) or ( prop_2 ) then ( prop_3 ) should happen , or else ( prop_4 ) .",prop_4 | ((prop_1 | prop_2) -> prop_3),G((prop_1 | prop_2) -> (F prop_3 | prop_4))
9178,"Establish communication with the injured_rescuer should always hold, with at most a two-step grace period for recovery.",!G!(communicate_injured_rescuer & X communicate_injured_rescuer),G(communicate_injured_rescuer | X communicate_injured_rescuer | X X communicate_injured_rescuer)
9180,"Globally , during the interval that ( prop_3 ) , and ( prop_1 ) , then ( prop_2 ) .",G((prop_1 & prop_3) -> G prop_2),G((prop_3 & prop_1) -> prop_2)
9181,"The case where (prop_1) does not happen is equivalent to the case where if (prop_2) happens, then (prop_3) happens.",!prop_1 <-> (prop_2 -> prop_3),G(!prop_1 ) <-> G(prop_2 -> prop_3 )
9182,"Keep doing (prop_3) until (prop_2) happens, and at the same time, make sure that (prop_1) does not happen.",!prop_1 & (prop_3 U prop_2),(prop_3 & !prop_1) U prop_2
9184,"If you do (prop_1) and observe (prop_2), and you should keep doing (prop_3) .",prop_1 & prop_2 & G prop_3,G((prop_1 & prop_2) -> G(prop_3))
9187,"If you do (prop_2) and it implies (prop_3), then you should not do (prop_1) .",(prop_2 -> prop_3) -> !prop_1,G((prop_2 & (prop_2 -> prop_3)) -> !prop_1)
9189,go through red_room to get to green_room,F(red_room & F green_room),!red_room | F(red_room & F(green_room))
9190,at the red_room,F red_room,G(red_room )
9194,"If either (prop_1) or (prop_2) happens, then keep (prop_3) for all time afterward .",(prop_1 | prop_2) -> G prop_3,G((prop_1 | prop_2) -> G(prop_3))
9195,never drop apple or whenever present_at flag,G!drop_apple | F present_at_flag,G(!drop_apple) | G(present_at_flag -> drop_apple)
9196,do not ( prop_1 ) and forever ( prop_2 ),!(prop_1 & G prop_2),!prop_1 & G prop_2
9199,never ( prop_1 ) or ( prop_2 ),G(!prop_1 | prop_2),G(!(prop_1 | prop_2))
9200,do not ( prop_1 ) and when possible ( prop_2 ),!(F prop_1 & F prop_2),G(!prop_1) & GF(prop_2)
9201,"at some point in time the car stops or the brake is released and, sooner or later a sensor gathers information afterwards",G!(brake_is_released | car_stops) | F((brake_is_released | car_stops) & F sensor_gathers_information),F((car_stops | brake_is_released) & F(sensor_gathers_information))
9203,"If pickup the cell_phone ever holds, get_help must have held beforehand.",F pickup_cell_phone -> (!pickup_cell_phone U (get_help & !pickup_cell_phone)),!pickup_cell_phone | F(get_help & F(pickup_cell_phone))
9205,"If ( prop_1 ) then ( prop_4 ) , or else ( prop_2 ) , the above scenario is equivalent to ( prop_3 ) .",prop_3 <-> (prop_2 | (prop_1 -> prop_4)),G(((prop_1 -> prop_4) | (!prop_1 -> prop_2)) <-> prop_3)
9206,always hold_onto orange or put_in apple bucket,put_in_apple_bucket | G hold_onto_orange,G(hold_onto_orange | put_in_apple_bucket)
9207,whenever go_to flag until don't pick_up anything,F go_to_flag U !F pick_up_anything,G(go_to_flag -> (!pick_up_anything U !pick_up_anything))
9208,"Once change light_north yellow has occurred, photo the collision on northeast_4th_street will never occur again.",G(change_light_north_yellow -> XG!photo_collision_northeast_4th_street),G(change_light_north_yellow -> G(!photo_collision_northeast_4th_street))
9209,"Globally , while ( prop_1 ) or ( prop_3 ) then the following condition is true : for every time point in the future before the simulation ends there should be a certain moment after between 20 to 68 time units , at which ( prop_2 ) .",G((prop_1 | prop_3) -> GF prop_2),G((prop_1 | prop_3) -> F(prop_2))
9210,don't ( prop_1 ) or when possible ( prop_2 ),!(prop_1 | F prop_2),G(!prop_1) | G(prop_2)
9211,"If either (prop_3) or (prop_2) happens, then keep this condition until either (prop_1) or (prop_4) happens .",(prop_2 | prop_3) U (prop_1 | prop_4),G((prop_3 | prop_2) -> ((prop_3 | prop_2) U (prop_1 | prop_4)))
9213,"when ( prop_1 ) , at some time ( prop_2 )",prop_1 -> F prop_2,G(prop_1 -> F prop_2)
9214,when possible secure pear can infer that go_to orange,F secure_pear -> go_to_orange,G(secure_pear -> F(go_to_orange))
9216,"It is not the case that ( prop_1 ) and ( prop_2 ), which is equal to the case that ( prop_3 ) is observed .",prop_3 <-> !(prop_1 & prop_2),G(!(prop_1 & prop_2) <-> prop_3)
9220,"Until you see that (prop_4) implies (prop_3), keep doing (prop_2) or (prop_1) .",(prop_3 | prop_4) U (prop_2 -> prop_1),(prop_2 | prop_1) U (prop_4 -> prop_3)
9221,( prop_1 ) means that ( prop_2 ),prop_1 -> prop_2,G(prop_1 -> prop_2)
9226,at any time ( prop_1 ) or always ( prop_2 ),F(prop_1 | G prop_2),G(prop_1 | prop_2)
9228,never ( prop_1 ) means that when possible ( prop_2 ),G!prop_1 -> F prop_2,G(!prop_1 ) -> G(prop_2 )
9229,Take a picture  of intersection 7 and stay there,F(intersection_7 & photo & G intersection_7),G(photo & intersection_7)
9230,"Whenever neither record the jaywalker on southeast_2nd_street nor photo the collision on northeast_10th_street holds, photo the cyclist on east_10th_avenue eventually holds.",G(!(photo_collision_northeast_10th_street & record_jaywalker_southeast_2nd_street) -> F photo_cyclist_east_10th_avenue),G((!record_jaywalker_southeast_2nd_street & !photo_collision_northeast_10th_street) -> F(photo_cyclist_east_10th_avenue))
9232,"When ( prop_3 ) and the transition action that ( prop_2 ) occurs then all of the following conditions hold : for each moment in the future till the execution ends , there shall be sometime in the first 44 time units , at which finally ( prop_1 ) .",G((prop_2 & prop_3) -> GF prop_1),G((prop_3 & prop_2) -> F(prop_1))
9234,"Whenever neither get_help nor search the cake holds, search the kite eventually holds.",G(!(get_help & search_cake) -> F search_kite),G((!get_help & !search_cake) -> F(search_kite))
9236,when possible ( prop_1 ) or at any time ( prop_2 ),F(prop_1 | F prop_2),F(prop_1 ) | GF(prop_2 )
9237,at any time ( prop_1 ) and whenever ( prop_2 ),F(prop_1 & F prop_2),G(prop_1 & G(prop_2))
9244,( prop_1 ) until at any time ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2
9245,"If (prop_2) eventually happens, then either (prop_1) or (prop_3) should also happen .",F prop_2 -> (prop_1 | prop_3),F(prop_2 ) -> F(prop_1 | prop_3 )
9248,at a certain moment the engine starts or the bar has to be repaired after a semaphore is yellow,G(semaphore_is_yellow -> F(bar_has_to_be_repaired | engine_starts)),F(engine_starts | (semaphore_is_yellow -> F(bar_has_to_be_repaired)))
9249,never ( prop_1 ) or ( prop_2 ),G(!prop_1 | prop_2),G(!(prop_1 | prop_2))
9252,never let_go or whenever go_to peach,G!let_go | F go_to_peach,G(!let_go) | G(go_to_peach -> go_to_peach)
9253,"when do not ( prop_1 ) , when possible ( prop_2 )",!prop_1 -> F prop_2,G(!prop_1 -> F prop_2)
9256,when possible go home until at any time move_to flag,F go_home U F move_to_flag,G(go_home U move_to_flag)
9257,when possible get_hold orange means that take_to tree,F get_hold_orange -> take_to_tree,G(get_hold_orange -> F(take_to_tree))
9259,don't let_go pear until at any time snatch pear,!let_go_pear U F snatch_pear,(!let_go_pear U snatch_pear)
9260,never ( prop_1 ) and whenever ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1 ) & G(prop_2 -> prop_2 )
9261,"first, it is going to happen that the table is brown and the motorbike is driven, and then, sooner or later both a train derails and a house is built",G!(motorbike_is_driven & table_is_brown) | F(motorbike_is_driven & table_is_brown & F(house_is_built & train_derails)),! (table_is_brown & motorbike_is_driven) | F ((table_is_brown & motorbike_is_driven) & F (train_derails & house_is_built))
9262,"Either (prop_2) and (prop_3) happen at the same time, or make sure (prop_1) happens in the end .",(prop_2 & prop_3) | F prop_1,F(prop_2 & prop_3) | F(prop_1)
9264,"When ( prop_3 ) , or the scenario that ( prop_1 ) gets detected then in response the condition that uninterruptedly ( prop_2 ) should not be true .",G((prop_1 | prop_3) -> !G prop_2),G((prop_3 | prop_1) -> G(!prop_2))
9265,In case that at some point ( prop_1 ) or ( prop_4 ) is equivalent to ( prop_3 ) and this scenario is continued until ( prop_2 ) .,(prop_3 <-> (prop_1 | prop_4)) U prop_2,F((prop_1 | prop_4) <-> prop_3) U prop_2
9267,"First, (prop_1) until (prop_3), and make sure that (prop_4) is equivalent to (prop_2) .",(prop_2 <-> prop_4) & (prop_1 U prop_3),(prop_1 U prop_3) & G(prop_4 <-> prop_2)
9268,Keep taking a picture of building 5 while you also keep visiting charger 4,GF(building_5 & photo) & GF charger_4,G(photo & building_5 & charger_4)
9269,at some time go_to trash receptacle until take_to trash can,F go_to_trash_receptacle U take_to_trash_can,F(go_to_trash_receptacle U take_to_trash_can)
9274,repeatedly ( prop_1 ) or ( prop_2 ),G(prop_2 | F prop_1),G(F(prop_1 | prop_2))
9275,"If (prop_1) happens and continues until (prop_3) also happens, then (prop_2) should not be true .",(prop_1 U prop_3) -> !prop_2,G((prop_1 U prop_3) -> !prop_2)
9276,"Do (prop_1) until (prop_2) happens, or else do not allow (prop_3) to happen.",!prop_3 | (prop_1 U prop_2),(prop_1 U prop_2) | G(!prop_3)
9277,"If (prop_3) and (prop_2) happen, then make sure (prop_1) happens at some point afterward .",(prop_2 & prop_3) -> F prop_1,G((prop_3 & prop_2) -> F(prop_1))
9278,at any time snatch pear and always touch flag,F snatch_pear & G touch_flag,G(snatch_pear & G touch_flag)
9279,"If ( prop_2 ) then ( prop_3 ) happens , or else ( prop_1 ) or ( prop_4 ) .",prop_1 | prop_4 | (prop_2 -> prop_3),G((prop_2 -> prop_3) | (prop_1 | prop_4))
