original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
forever moving until do not let_go orange;"G ( ""moving"" ) U ! ( ""let_go(orange)"" )";G moving U !let_go_orange;['moving', 'let_go_orange'];;;;Gap_0 U !ap_1;VLTL-Bench;Gprop U !prop;Gprop U !prop;7
Whenever get_help holds, from the next step onwards photo safe_civilian will eventually hold.;"G ( ""get_help"" -> X F ""photo(safe_civilian)"" )";G(get_help -> XF photo_safe_civilian);['get_help', 'photo_safe_civilian'];;;;G(ap_0 -> XFap_1);VLTL-Bench;G(prop -> XFprop);G(prop -> XFprop);7
Do not approach intersection_5 before reaching street_4 and delivering pass_4 from house_4 to office_1;"! ""intersection_5"" U ""street_4"" & F ( ""house_4"" & F ( ""p_pass_4"" & F ( ""office_1"" & ""pd"" ) ) )";(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd)));['pd', 'street_4', 'house_4', 'intersection_5', 'p_pass_4', 'office_1'];;;;(!ap_3 U ap_1) & F(ap_2 & F(ap_4 & F(ap_5 & ap_0)));VLTL-Bench;(!prop U prop) & F(prop & F(prop & F(prop & prop)));(!prop U prop) & F(prop & F(prop & F(prop & prop)));7
Take a picture of statue 2, but only after reaching park 5;<>(park_5&&<>(statue_2&&photo));F(park_5 & F(photo & statue_2));['photo', 'park_5', 'statue_2'];Take a picture of statue_2, but only after reaching park_5;{'photo': 'photo', 'park 5': 'park_5', 'statue 2': 'statue_2'};{'photo': 'ap_0', 'park_5': 'ap_1', 'statue_2': 'ap_2'};F(ap_1 & F(ap_0 & ap_2));ConformalNL2LTL;F(prop & F(prop & prop));F(prop & F(prop & prop));7
drop pear and reach house;"""drop(pear)"" & ""reach(house)""";drop_pear & reach_house;['drop_pear', 'reach_house'];;;;ap_0 & ap_1;VLTL-Bench;prop & prop;prop & prop;7
Wait and search the teddy-bear never coincide, yet one of them is always true.;"G ( ! ( ""idle"" & ""search(teddy-bear)"" ) ) & G ( ""idle"" | ""search(teddy-bear)"" )";G!(idle & search_teddy_bear) & G(idle | search_teddy_bear);['idle', 'search_teddy_bear'];;;;G!(ap_0 & ap_1) & G(ap_0 | ap_1);VLTL-Bench;G!(prop & prop) & G(prop | prop);G!(prop & prop) & G(prop | prop);7
Take a video of the vehicle on west_2nd_avenue can only happen after begining recording the car on northwest_4th_avenue.;"! ""record(vehicle,west_2nd_avenue)"" U ""record(car,northwest_4th_avenue)""";!record_vehicle_west_2nd_avenue U record_car_northwest_4th_avenue;['record_car_northwest_4th_avenue', 'record_vehicle_west_2nd_avenue'];;;;!ap_1 U ap_0;VLTL-Bench;!prop U prop;!prop U prop;7
Ensure you keep capturing photos of building 5 while regularly revisiting charger 4;[]<>(building_5&&photo)&&[]<>charger_4;GF(building_5 & photo) & GF charger_4;['photo', 'building_5', 'charger_4'];Ensure you keep capturing photos of building_5 while regularly revisiting charger_4;{'photo': 'photo', 'building 5': 'building_5', 'charger 4': 'charger_4'};{'photo': 'ap_0', 'building_5': 'ap_1', 'charger_4': 'ap_2'};GF(ap_1 & ap_0) & GFap_2;ConformalNL2LTL;GF(prop & prop) & GFprop;GF(prop & prop) & GFprop;7
sooner or later both the escalator is blocked and the sensor captures data and, sooner or later a manager handles requests or a manager collect claims afterwards;G(!( escalator_is_blocked & sensor_captures_data )) | F(( escalator_is_blocked & sensor_captures_data ) & F( manager_handles_requests | manager_collect_claims ));G!(escalator_is_blocked & sensor_captures_data) | F(escalator_is_blocked & sensor_captures_data & F(manager_collect_claims | manager_handles_requests));['manager_collect_claims', 'sensor_captures_data', 'manager_handles_requests', 'escalator_is_blocked'];sooner or later both the escalator_is_blocked and the sensor_captures_data and, sooner or later a manager_handles_requests or a manager_collect_claims afterwards;;{'manager_collect_claims': 'ap_0', 'sensor_captures_data': 'ap_1', 'manager_handles_requests': 'ap_2', 'escalator_is_blocked': 'ap_3'};G!(ap_3 & ap_1) | F(ap_3 & ap_1 & F(ap_0 | ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & F(prop | prop));G!(prop & prop) | F(prop & prop & F(prop | prop));7
If get_help holds, then in the next step search the baseball_glove persists until delivering the frisbee to the shelf holds, or else search the baseball_glove holds forever.;"""get_help"" -> X ( ( ""search(baseball_glove)"" U ""deliver(frisbee,shelf)"" ) | G ""search(baseball_glove)"" )";get_help -> X((search_baseball_glove U deliver_frisbee_shelf) | G search_baseball_glove);['get_help', 'deliver_frisbee_shelf', 'search_baseball_glove'];;;;ap_0 -> X((ap_2 U ap_1) | Gap_2);VLTL-Bench;prop -> X((prop U prop) | Gprop);prop -> X((prop U prop) | Gprop);7
at some point in time a house collapses and, at the same time, the car starts and the constructor instantiate objects;F( house_collapses & car_starts & constructor_instantiate_objects );F(car_starts & constructor_instantiate_objects & house_collapses);['car_starts', 'constructor_instantiate_objects', 'house_collapses'];at some point in time a house_collapses and, at the same time, the car_starts and the constructor_instantiate_objects;;{'car_starts': 'ap_0', 'constructor_instantiate_objects': 'ap_1', 'house_collapses': 'ap_2'};F(ap_0 & ap_1 & ap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop & prop);F(prop & prop & prop);7
forever hold_on pear and approach trash can;"G ( ""hold_on(pear)"" ) & ""approach(trash_can)""";approach_trash_can & G hold_on_pear;['approach_trash_can', 'hold_on_pear'];;;;ap_0 & Gap_1;VLTL-Bench;prop & Gprop;prop & Gprop;7
forever have_in orange or repeatedly grab tree;"G ( ""have_in(orange)"" ) | G ( F ( ""grab(tree)"" ) )";G have_in_orange | GF grab_tree;['grab_tree', 'have_in_orange'];;;;Gap_1 | GFap_0;VLTL-Bench;Gprop | GFprop;Gprop | GFprop;7
forever stay or at some time got_to house;"G ( ""stay"" ) | F ( ""got_to(house)"" )";G stay | F got_to_house;['got_to_house', 'stay'];;;;Gap_1 | Fap_0;VLTL-Bench;Gprop | Fprop;Gprop | Fprop;7
Avoid going to building 8 until you have reached parking lot 8;!building_8 U parking_lot_8;!building_8 U parking_lot_8;['building_8', 'parking_lot_8'];Avoid going to building_8 until you have reached parking_lot_8;{'building 8': 'building_8', 'parking lot 8': 'parking_lot_8'};{'building_8': 'ap_0', 'parking_lot_8': 'ap_1'};!ap_0 U ap_1;ConformalNL2LTL;!prop U prop;!prop U prop;7
Stay in locality_3 until you reach office_4;"""locality_3"" U ""office_4""";locality_3 U office_4;['office_4', 'locality_3'];;;;ap_1 U ap_0;VLTL-Bench;prop U prop;prop U prop;7
when possible proceed_to flag or gather apple;"F ( ""proceed_to(flag)"" ) | ""gather(apple)""";gather_apple | F proceed_to_flag;['gather_apple', 'proceed_to_flag'];;;;ap_0 | Fap_1;VLTL-Bench;prop | Fprop;prop | Fprop;7
never drop orange or move_to trashcan;"G ( ! ( ""drop(orange)"" ) ) | ""move_to(trashcan)""";move_to_trashcan | G!drop_orange;['move_to_trashcan', 'drop_orange'];;;;ap_0 | G!ap_1;VLTL-Bench;prop | G!prop;prop | G!prop;7
when possible pass_by trash bin and at any time take_possession_of bear;"F ( ""pass_by(trash_bin)"" ) & F ( ""take_possession_of(bear)"" )";F pass_by_trash_bin & F take_possession_of_bear;['take_possession_of_bear', 'pass_by_trash_bin'];;;;Fap_1 & Fap_0;VLTL-Bench;Fprop & Fprop;Fprop & Fprop;7
after a train has arrived, sooner or later either a sensor retrieves data or a car enters;G(( train_has_arrived ) -> F( sensor_retrieves_data | car_enters ));G(train_has_arrived -> F(car_enters | sensor_retrieves_data));['car_enters', 'sensor_retrieves_data', 'train_has_arrived'];after a train_has_arrived, sooner or later either a sensor_retrieves_data or a car_enters;;{'car_enters': 'ap_0', 'sensor_retrieves_data': 'ap_1', 'train_has_arrived': 'ap_2'};G(ap_2 -> F(ap_0 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> F(prop | prop));G(prop -> F(prop | prop));7
never drop apple and venture_towards house;"G ( ! ( ""drop(apple)"" ) ) & ""venture_towards(house)""";venture_towards_house & G!drop_apple;['drop_apple', 'venture_towards_house'];;;;ap_1 & G!ap_0;VLTL-Bench;prop & G!prop;prop & G!prop;7
This controller must Please photo gas_leak and then avoid the active gas_leak.;"( ""photo(gas_leak)"" U ""avoid(active_gas_leak)"" )";photo_gas_leak U avoid_active_gas_leak;['photo_gas_leak', 'avoid_active_gas_leak'];;;;ap_0 U ap_1;VLTL-Bench;prop U prop;prop U prop;7
walk until at any time arrive_at tree;"""walk"" U F ( ""arrive_at(tree)"" )";walk U F arrive_at_tree;['arrive_at_tree', 'walk'];;;;ap_1 U Fap_0;VLTL-Bench;prop U Fprop;prop U Fprop;7
when whenever grasp apple , at some time get_hold orange;"F ( ""grasp(apple)"" ) -> F ( ""get_hold(orange)"" )";F grasp_apple -> F get_hold_orange;['get_hold_orange', 'grasp_apple'];;;;Fap_1 -> Fap_0;VLTL-Bench;Fprop -> Fprop;Fprop -> Fprop;7
if the sensor captures data then at a certain moment an elevator falls or the motorbike catches fire;G(( sensor_captures_data ) -> F( elevator_falls | motorbike_catches_fire ));G(sensor_captures_data -> F(elevator_falls | motorbike_catches_fire));['sensor_captures_data', 'elevator_falls', 'motorbike_catches_fire'];if the sensor_captures_data then at a certain moment an elevator_falls or the motorbike_catches_fire;;{'sensor_captures_data': 'ap_0', 'elevator_falls': 'ap_1', 'motorbike_catches_fire': 'ap_2'};G(ap_0 -> F(ap_1 | ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> F(prop | prop));G(prop -> F(prop | prop));7
Every idle is directly followed by delivering the scissors to the loading_dock in the next step.;"G ( ""idle"" -> X ""deliver(scissors,loading_dock)"" )";G(idle -> X deliver_scissors_loading_dock);['idle', 'deliver_scissors_loading_dock'];;;;G(ap_0 -> Xap_1);VLTL-Bench;G(prop -> Xprop);G(prop -> Xprop);7
it is never the case that a house collapses and, at the same time, the sensor retrieves data and the semaphore is green;G(!( house_collapses & sensor_retrieves_data & semaphore_is_green ));G!(house_collapses & semaphore_is_green & sensor_retrieves_data);['house_collapses', 'sensor_retrieves_data', 'semaphore_is_green'];it is never the case that a house_collapses and, at the same time, the sensor_retrieves_data and the semaphore_is_green;;{'house_collapses': 'ap_0', 'sensor_retrieves_data': 'ap_1', 'semaphore_is_green': 'ap_2'};G!(ap_0 & ap_2 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop & prop);G!(prop & prop & prop);7
Whenever neither change light_north green nor photo the cyclist on southeast_9th_street holds, record the pedestrian on west_4th_street eventually holds.;"G ( ! ( ""change(light_north,green)"" & ""photo(cyclist,southeast_9th_street)"" ) -> F ""record(pedestrian,west_4th_street)"" )";G(!(change_light_north_green & photo_cyclist_southeast_9th_street) -> F record_pedestrian_west_4th_street);['change_light_north_green', 'record_pedestrian_west_4th_street', 'photo_cyclist_southeast_9th_street'];;;;G(!(ap_0 & ap_2) -> Fap_1);VLTL-Bench;G(!(prop & prop) -> Fprop);G(!(prop & prop) -> Fprop);7
Globally, it is not the case that both change light_west red and photo the cyclist on southeast_2nd_street hold simultaneously.;"G ( ! ( ""change(light_west,red)"" & ""photo(cyclist,southeast_2nd_street)"" ) )";G!(change_light_west_red & photo_cyclist_southeast_2nd_street);['change_light_west_red', 'photo_cyclist_southeast_2nd_street'];;;;G!(ap_0 & ap_1);VLTL-Bench;G!(prop & prop);G!(prop & prop);7
it will not happen that a semaphore is green and the sensor gathers information;G(!( semaphore_is_green & sensor_gathers_information ));G!(semaphore_is_green & sensor_gathers_information);['sensor_gathers_information', 'semaphore_is_green'];it will not happen that a semaphore_is_green and the sensor_gathers_information;;{'sensor_gathers_information': 'ap_0', 'semaphore_is_green': 'ap_1'};G!(ap_1 & ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop);G!(prop & prop);7
first, sooner or later a house collapses and the house is open, and then, eventually, a sensor gathers information;G(!( house_collapses & house_is_open )) | F(( house_collapses & house_is_open ) & F( sensor_gathers_information ));G!(house_collapses & house_is_open) | F(house_collapses & house_is_open & F sensor_gathers_information);['house_is_open', 'house_collapses', 'sensor_gathers_information'];first, sooner or later a house_collapses and the house_is_open, and then, eventually, a sensor_gathers_information;;{'house_is_open': 'ap_0', 'house_collapses': 'ap_1', 'sensor_gathers_information': 'ap_2'};G!(ap_1 & ap_0) | F(ap_1 & ap_0 & Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & Fprop);G!(prop & prop) | F(prop & prop & Fprop);7
always, both an elevator falls and a semaphore is yellow;G( elevator_falls & semaphore_is_yellow );G(elevator_falls & semaphore_is_yellow);['semaphore_is_yellow', 'elevator_falls'];always, both an elevator_falls and a semaphore_is_yellow;;{'semaphore_is_yellow': 'ap_0', 'elevator_falls': 'ap_1'};G(ap_1 & ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop & prop);G(prop & prop);7
advance_to tree or approach trash can;"""advance_to(tree)"" | ""approach(trash_can)""";advance_to_tree | approach_trash_can;['approach_trash_can', 'advance_to_tree'];;;;ap_1 | ap_0;VLTL-Bench;prop | prop;prop | prop;7
If every deliver the fire_hydrant to the shelf is eventually followed by deliver the vase to the loading_dock, then idle must occur infinitely often.;"G ( ""deliver(fire_hydrant,shelf)"" -> F ""deliver(vase,loading_dock)"" ) -> G F ""idle""";G(deliver_fire_hydrant_shelf -> F deliver_vase_loading_dock) -> GF idle;['idle', 'deliver_fire_hydrant_shelf', 'deliver_vase_loading_dock'];;;;G(ap_1 -> Fap_2) -> GFap_0;VLTL-Bench;G(prop -> Fprop) -> GFprop;G(prop -> Fprop) -> GFprop;7
as either a motorbike has stopped or the elevator falls, finally, the elevator falls or the bar is closing;G(( motorbike_has_stopped | elevator_falls ) -> F( elevator_falls | bar_is_closing ));G((elevator_falls | motorbike_has_stopped) -> F(bar_is_closing | elevator_falls));['bar_is_closing', 'elevator_falls', 'motorbike_has_stopped'];as either a motorbike_has_stopped or the elevator_falls, finally, the elevator_falls or the bar_is_closing;;{'bar_is_closing': 'ap_0', 'elevator_falls': 'ap_1', 'motorbike_has_stopped': 'ap_2'};G((ap_1 | ap_2) -> F(ap_0 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> F(prop | prop));G((prop | prop) -> F(prop | prop));7
Take a picture of fire_source and get_help will each happen at some point.;"F ""photo(fire_source)"" & F ""get_help""";F photo_fire_source & F get_help;['get_help', 'photo_fire_source'];;;;Fap_1 & Fap_0;VLTL-Bench;Fprop & Fprop;Fprop & Fprop;7
it should not happen that the house collapses and a motorbike has stopped;G(!( house_collapses & motorbike_has_stopped ));G!(house_collapses & motorbike_has_stopped);['house_collapses', 'motorbike_has_stopped'];it should not happen that the house_collapses and a motorbike_has_stopped;;{'house_collapses': 'ap_0', 'motorbike_has_stopped': 'ap_1'};G!(ap_0 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop);G!(prop & prop);7
it will happen that either the escalator is blocked or a table is old and, at some point in time both the car enters and the engine stops afterwards;G(!( escalator_is_blocked | table_is_old )) | F(( escalator_is_blocked | table_is_old ) & F( car_enters & engine_stops ));G!(escalator_is_blocked | table_is_old) | F((escalator_is_blocked | table_is_old) & F(car_enters & engine_stops));['car_enters', 'table_is_old', 'escalator_is_blocked', 'engine_stops'];it will happen that either the escalator_is_blocked or a table_is_old and, at some point in time both the car_enters and the engine_stops afterwards;;{'car_enters': 'ap_0', 'table_is_old': 'ap_1', 'escalator_is_blocked': 'ap_2', 'engine_stops': 'ap_3'};G!(ap_2 | ap_1) | F((ap_2 | ap_1) & F(ap_0 & ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop) | F((prop | prop) & F(prop & prop));G!(prop | prop) | F((prop | prop) & F(prop & prop));7
if whenever reach flag , at some time reach flag;"F ( ""reach(flag)"" ) -> F ( ""reach(flag)"" )";1;[];;;;1;VLTL-Bench;1;1;7
eventually, an elevator is blocked, a house collapses and the elevator falls;F( elevator_is_blocked & house_collapses & elevator_falls );F(elevator_falls & elevator_is_blocked & house_collapses);['house_collapses', 'elevator_falls', 'elevator_is_blocked'];eventually, an elevator_is_blocked, a house_collapses and the elevator_falls;;{'house_collapses': 'ap_0', 'elevator_falls': 'ap_1', 'elevator_is_blocked': 'ap_2'};F(ap_1 & ap_2 & ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop & prop);F(prop & prop & prop);7
Stay in park 1 until you reach table 3;park_1 U table_3;park_1 U table_3;['park_1', 'table_3'];Stay in park_1 until you reach table_3;{'park 1': 'park_1', 'table 3': 'table_3'};{'park_1': 'ap_0', 'table_3': 'ap_1'};ap_0 U ap_1;ConformalNL2LTL;prop U prop;prop U prop;7
Our agent must eventually deliver the bird to the shelf or deliver the bottle to the loading_dock.;"F ( ""deliver(bird,shelf)"" | ""deliver(bottle,loading_dock)"" )";F(deliver_bird_shelf | deliver_bottle_loading_dock);['deliver_bird_shelf', 'deliver_bottle_loading_dock'];;;;F(ap_0 | ap_1);VLTL-Bench;F(prop | prop);F(prop | prop);7
after the train derails, in the future the car stops and the elevator is blocked;G(( train_derails ) -> F( car_stops & elevator_is_blocked ));G(train_derails -> F(car_stops & elevator_is_blocked));['train_derails', 'car_stops', 'elevator_is_blocked'];after the train_derails, in the future the car_stops and the elevator_is_blocked;;{'train_derails': 'ap_0', 'car_stops': 'ap_1', 'elevator_is_blocked': 'ap_2'};G(ap_0 -> F(ap_1 & ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> F(prop & prop));G(prop -> F(prop & prop));7
When get_help happens, deliver_aid the safe_rescuer must hold now or in the next step.;"G ( ""get_help"" -> ( ""deliver_aid(safe_rescuer)"" | X ""deliver_aid(safe_rescuer)"" ) )";G(get_help -> (deliver_aid_safe_rescuer | X deliver_aid_safe_rescuer));['get_help', 'deliver_aid_safe_rescuer'];;;;G(ap_0 -> (ap_1 | Xap_1));VLTL-Bench;G(prop -> (prop | Xprop));G(prop -> (prop | Xprop));7
grab_hold pear and get_to tree;"""grab_hold(pear)"" & ""get_to(tree)""";get_to_tree & grab_hold_pear;['get_to_tree', 'grab_hold_pear'];;;;ap_0 & ap_1;VLTL-Bench;prop & prop;prop & prop;7
at the green_room avoiding the yellow_room;"( F ( ""green_room"" ) & G ( ! ""yellow_room"" ) )";F green_room & G!yellow_room;['yellow_room', 'green_room'];;;;Fap_1 & G!ap_0;VLTL-Bench;Fprop & G!prop;Fprop & G!prop;7
keep apple and go_to orange bin;"""keep(apple)"" & ""go_to(orange_bin)""";go_to_orange_bin & keep_apple;['go_to_orange_bin', 'keep_apple'];;;;ap_0 & ap_1;VLTL-Bench;prop & prop;prop & prop;7
it never happens that either the bar is down, the manager handles requests or an elevator rises;G(!( bar_is_down | manager_handles_requests | elevator_rises ));G!(bar_is_down | elevator_rises | manager_handles_requests);['elevator_rises', 'bar_is_down', 'manager_handles_requests'];it never happens that either the bar_is_down, the manager_handles_requests or an elevator_rises;;{'elevator_rises': 'ap_0', 'bar_is_down': 'ap_1', 'manager_handles_requests': 'ap_2'};G!(ap_1 | ap_0 | ap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop | prop);G!(prop | prop | prop);7
after the sensor captures data, sooner or later either a bridge closes or the semaphore is green;G(( sensor_captures_data ) -> F( bridge_closes | semaphore_is_green ));G(sensor_captures_data -> F(bridge_closes | semaphore_is_green));['sensor_captures_data', 'bridge_closes', 'semaphore_is_green'];after the sensor_captures_data, sooner or later either a bridge_closes or the semaphore_is_green;;{'sensor_captures_data': 'ap_0', 'bridge_closes': 'ap_1', 'semaphore_is_green': 'ap_2'};G(ap_0 -> F(ap_1 | ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> F(prop | prop));G(prop -> F(prop | prop));7
it will happen that an elevator is blocked and the bar is up;F( elevator_is_blocked & bar_is_up );F(bar_is_up & elevator_is_blocked);['bar_is_up', 'elevator_is_blocked'];it will happen that an elevator_is_blocked and the bar_is_up;;{'bar_is_up': 'ap_0', 'elevator_is_blocked': 'ap_1'};F(ap_0 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop);F(prop & prop);7
whenever a house is open and the sensor retrieves data then it is going to happen that both the bar has to be repaired and a manager collect claims;G(( house_is_open & sensor_retrieves_data ) -> F( bar_has_to_be_repaired & manager_collect_claims ));G((house_is_open & sensor_retrieves_data) -> F(bar_has_to_be_repaired & manager_collect_claims));['house_is_open', 'manager_collect_claims', 'bar_has_to_be_repaired', 'sensor_retrieves_data'];whenever a house_is_open and the sensor_retrieves_data then it is going to happen that both the bar_has_to_be_repaired and a manager_collect_claims;;{'house_is_open': 'ap_0', 'manager_collect_claims': 'ap_1', 'bar_has_to_be_repaired': 'ap_2', 'sensor_retrieves_data': 'ap_3'};G((ap_0 & ap_3) -> F(ap_2 & ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> F(prop & prop));G((prop & prop) -> F(prop & prop));7
always stay or grip apple;"G ( ""stay"" ) | ""grip(apple)""";grip_apple | G stay;['grip_apple', 'stay'];;;;ap_0 | Gap_1;VLTL-Bench;prop | Gprop;prop | Gprop;7
always have apple until whenever secure pear;"G ( ""have(apple)"" ) U F ( ""secure(pear)"" )";G have_apple U F secure_pear;['secure_pear', 'have_apple'];;;;Gap_1 U Fap_0;VLTL-Bench;Gprop U Fprop;Gprop U Fprop;7
Pick up bottle 3 from kitchen 2 but do not enter living room 1;<>(kitchen_2&&p_bottle_3)&&[]!living_room_1;F(kitchen_2 & p_bottle_3) & G!living_room_1;['p_bottle_3', 'kitchen_2', 'living_room_1'];Pick up p_bottle_3 from kitchen_2 but do not enter living_room_1;{'bottle 3': 'p_bottle_3', 'kitchen 2': 'kitchen_2', 'living room 1': 'living_room_1'};{'p_bottle_3': 'ap_0', 'kitchen_2': 'ap_1', 'living_room_1': 'ap_2'};F(ap_1 & ap_0) & G!ap_2;ConformalNL2LTL;F(prop & prop) & G!prop;F(prop & prop) & G!prop;7
never let_go orange until at some time gather pear;"G ( ! ( ""let_go(orange)"" ) ) U F ( ""gather(pear)"" )";G!let_go_orange U F gather_pear;['gather_pear', 'let_go_orange'];;;;G!ap_1 U Fap_0;VLTL-Bench;G!prop U Fprop;G!prop U Fprop;7
go from the blue room to the red room then to the green_room;"F ""green_room""";F green_room;['green_room'];;;;Fap_0;VLTL-Bench;Fprop;Fprop;7
when possible journey_by house can infer that when possible travel_by tree;"F ( ""journey_by(house)"" ) -> F ( ""travel_by(tree)"" )";F journey_by_house -> F travel_by_tree;['journey_by_house', 'travel_by_tree'];;;;Fap_0 -> Fap_1;VLTL-Bench;Fprop -> Fprop;Fprop -> Fprop;7
Keep going to area_2 and taking a picture;"G F ( ""area_2"" & ""photo"" )";GF(area_2 & photo);['photo', 'area_2'];;;;GF(ap_1 & ap_0);VLTL-Bench;GF(prop & prop);GF(prop & prop);7
every time both the motorbike has started and a train is crossing then under no circumstances either a semaphore is green or a motorbike falls down;G(( motorbike_has_started & train_is_crossing ) -> G(!( semaphore_is_green | motorbike_falls_down )));G((motorbike_has_started & train_is_crossing) -> G!(motorbike_falls_down | semaphore_is_green));['train_is_crossing', 'motorbike_falls_down', 'semaphore_is_green', 'motorbike_has_started'];every time both the motorbike_has_started and a train_is_crossing then under no circumstances either a semaphore_is_green or a motorbike_falls_down;;{'train_is_crossing': 'ap_0', 'motorbike_falls_down': 'ap_1', 'semaphore_is_green': 'ap_2', 'motorbike_has_started': 'ap_3'};G((ap_3 & ap_0) -> G!(ap_1 | ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> G!(prop | prop));G((prop & prop) -> G!(prop | prop));7
Ensure you continuously stay in locality 7 as you move letter 1 from office 4 to house 1;[]locality_7&&<>(office_4&&<>(p_letter_1&&<>(house_1&&pd)));G locality_7 & F(office_4 & F(p_letter_1 & F(house_1 & pd)));['pd', 'house_1', 'locality_7', 'office_4', 'p_letter_1'];Ensure you continuously stay in locality_7 as you move p_letter_1 from office_4 to house_1;{'pd': 'pd', 'house 1': 'house_1', 'locality 7': 'locality_7', 'office 4': 'office_4', 'letter 1': 'p_letter_1'};{'pd': 'ap_0', 'house_1': 'ap_1', 'locality_7': 'ap_2', 'office_4': 'ap_3', 'p_letter_1': 'ap_4'};Gap_2 & F(ap_3 & F(ap_4 & F(ap_1 & ap_0)));ConformalNL2LTL;Gprop & F(prop & F(prop & F(prop & prop)));Gprop & F(prop & F(prop & F(prop & prop)));7
always when a train has arrived then at some point in time the car stops or the house is built;G(( train_has_arrived ) -> F( car_stops | house_is_built ));G(train_has_arrived -> F(car_stops | house_is_built));['house_is_built', 'car_stops', 'train_has_arrived'];always when a train_has_arrived then at some point in time the car_stops or the house_is_built;;{'house_is_built': 'ap_0', 'car_stops': 'ap_1', 'train_has_arrived': 'ap_2'};G(ap_2 -> F(ap_1 | ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> F(prop | prop));G(prop -> F(prop | prop));7
at some time grab orange or repeatedly go_to waste basket;"F ( ""grab(orange)"" ) | G ( F ( ""go_to(waste_basket)"" ) )";F grab_orange | GF go_to_waste_basket;['go_to_waste_basket', 'grab_orange'];;;;Fap_1 | GFap_0;VLTL-Bench;Fprop | GFprop;Fprop | GFprop;7
If photo unsafe_rescuer holds, then in the next step deliver_aid the injured_hostile persists until returning to base holds, or else deliver_aid the injured_hostile holds forever.;"""photo(unsafe_rescuer)"" -> X ( ( ""deliver_aid(injured_hostile)"" U ""go_home"" ) | G ""deliver_aid(injured_hostile)"" )";photo_unsafe_rescuer -> X((deliver_aid_injured_hostile U go_home) | G deliver_aid_injured_hostile);['go_home', 'deliver_aid_injured_hostile', 'photo_unsafe_rescuer'];;;;ap_2 -> X((ap_1 U ap_0) | Gap_1);VLTL-Bench;prop -> X((prop U prop) | Gprop);prop -> X((prop U prop) | Gprop);7
eternally, the elevator falls, the train derails and the bar is up;G( elevator_falls & train_derails & bar_is_up );G(bar_is_up & elevator_falls & train_derails);['bar_is_up', 'train_derails', 'elevator_falls'];eternally, the elevator_falls, the train_derails and the bar_is_up;;{'bar_is_up': 'ap_0', 'train_derails': 'ap_1', 'elevator_falls': 'ap_2'};G(ap_0 & ap_2 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop & prop & prop);G(prop & prop & prop);7
Continue staying in locality 6 until you retrieve package 3 from store 8 and deliver it to house 5;locality_6 U (store_8&&<>(p_package_3&&<>(house_5&&pd)));locality_6 U (store_8 & F(p_package_3 & F(house_5 & pd)));['pd', 'locality_6', 'store_8', 'p_package_3', 'house_5'];Continue staying in locality_6 until you retrieve p_package_3 from store_8 and deliver it to house_5;{'pd': 'pd', 'locality 6': 'locality_6', 'store 8': 'store_8', 'package 3': 'p_package_3', 'house 5': 'house_5'};{'pd': 'ap_0', 'locality_6': 'ap_1', 'store_8': 'ap_2', 'p_package_3': 'ap_3', 'house_5': 'ap_4'};ap_1 U (ap_2 & F(ap_3 & F(ap_4 & ap_0)));ConformalNL2LTL;prop U (prop & F(prop & F(prop & prop)));prop U (prop & F(prop & F(prop & prop)));7
If communicate the safe_rescuer holds and photo flood holds next, then avoid the impending_flood holds in the step after that.;"G ( ""communicate(safe_rescuer)"" & X ""photo(flood)"" -> X X ""avoid(impending_flood)"" )";G((communicate_safe_rescuer & X photo_flood) -> XX avoid_impending_flood);['communicate_safe_rescuer', 'photo_flood', 'avoid_impending_flood'];;;;G((ap_0 & Xap_1) -> XXap_2);VLTL-Bench;G((prop & Xprop) -> XXprop);G((prop & Xprop) -> XXprop);7
